EntrezID,Symbol,Type
3638,INSIG1,landmark
2309,FOXO3,landmark
1001,CDH3,landmark
4998,ORC1,landmark
3682,ITGAE,landmark
1022,CDK7,landmark
2353,FOS,landmark
1021,CDK6,landmark
1019,CDK4,landmark
1017,CDK2,landmark
3693,ITGB5,landmark
1029,CDKN2A,landmark
1027,CDKN1B,landmark
1026,CDKN1A,landmark
2356,FPGS,landmark
1052,CEBPD,landmark
1050,CEBPA,landmark
1062,CENPE,landmark
85377,MICALL1,landmark
1070,CETN3,landmark
11065,UBE2C,landmark
11072,DUSP14,landmark
11073,TOPBP1,landmark
11041,B4GAT1,landmark
23029,RBM34,landmark
11044,PAPD7,landmark
23038,WDTC1,domain
23039,XPO7,landmark
26993,AKAP8L,landmark
11031,RAB31,landmark
23013,SPEN,landmark
23014,FBXO21,landmark
23011,RAB21,landmark
11000,SLC27A3,landmark
11004,KIF2C,landmark
11007,CCDC85B,landmark
11011,TLK2,landmark
11014,KDELR2,landmark
63933,MCUR1,landmark
23097,CDK19,landmark
3725,JUN,landmark
23061,TBC1D9B,landmark
11098,PRSS23,landmark
23076,RRP1B,landmark
23077,MYCBP2,landmark
1111,CHEK1,landmark
3775,KCNK1,landmark
1123,CHN1,landmark
1153,CIRBP,landmark
50810,HDGFRP3,landmark
50813,COPS7A,landmark
50814,NSDHL,landmark
23200,ATP11B,landmark
11230,PRAF2,landmark
23210,JMJD6,landmark
23212,RRS1,landmark
25874,MPC2,landmark
84159,ARID5B,landmark
11232,POLG2,landmark
11200,CHEK2,landmark
25825,BACE2,landmark
25839,COG4,landmark
25803,SPDEF,landmark
25805,BAMBI,landmark
200734,SPRED2,landmark
11182,SLC2A6,landmark
23161,SNX13,landmark
11188,NISCH,landmark
16,AARS,landmark
23,ABCF1,landmark
25,ABL1,landmark
23149,FCHO1,landmark
23142,DCUN1D4,landmark
11168,PSIP1,landmark
30,ACAA1,landmark
39,ACAT2,landmark
47,ACLY,landmark
11142,PKIG,landmark
11151,CORO1A,landmark
23139,MAST2,landmark
23131,GPATCH8,landmark
25793,FBXO7,landmark
11157,LSM6,landmark
11137,PWP1,landmark
3800,KIF5C,landmark
3815,KIT,landmark
2523,FUT1,landmark
2534,FYN,landmark
2548,GAA,landmark
1213,CLTC,landmark
1212,CLTB,landmark
2542,SLC37A4,landmark
2553,GABPB1,landmark
3895,KTN1,landmark
2582,GALE,landmark
2597,GAPDH,landmark
1282,COL4A1,landmark
1277,COL1A1,landmark
23321,TRIM2,landmark
25987,TSKU,landmark
23325,WASHC4,landmark
23326,USP22,landmark
10013,HDAC6,landmark
11344,TWF2,landmark
23335,WDR7,landmark
23338,JADE2,landmark
23300,ATMIN,landmark
25966,C2CD2,landmark
11325,DDX42,landmark
25976,TIPARP,landmark
10007,GNPDA1,landmark
11319,ECD,landmark
25932,CLIC4,landmark
11284,PNKP,landmark
23271,CAMSAP2,landmark
11261,CHP1,landmark
23244,PDS5A,landmark
23223,RRP12,landmark
23224,SYNE2,landmark
3909,LAMA3,landmark
3925,STMN1,landmark
3930,LBR,landmark
50865,HEBP1,landmark
2625,GATA3,landmark
2624,GATA2,landmark
3964,LGALS8,landmark
3978,LIG1,landmark
3988,LIPA,landmark
2673,GFPT1,landmark
2690,GHR,landmark
1385,CREB1,landmark
116832,RPL39L,landmark
1399,CRKL,landmark
1398,CRK,landmark
23443,SLC35A3,landmark
10131,TRAP1,landmark
10146,G3BP1,landmark
10112,KIF20A,landmark
10123,ARL4C,landmark
23410,SIRT3,landmark
10099,TSPAN3,landmark
23386,NUDCD3,landmark
10051,SMC4,landmark
23365,ARHGEF12,landmark
23368,PPP1R13B,landm
10057,ABCC5,landmark
10059,DNM1L,landmark
10058,ABCB6,landmark
23378,RRP8,landmark
10038,PARP2,landmark
10046,MAMLD1,landmark
10049,DNAJB6,landmark
2736,GLI2,landmark
2745,GLRX,landmark
1429,CRYZ,landmark
2771,GNAI2,landmark
2770,GNAI1,landmark
2767,GNA11,landmark
2769,GNA15,landmark
2778,GNAS,landmark
1445,CSK,landmark
1459,CSNK2A2,landmark
1454,CSNK1E,landmark
1452,CSNK1A1,landmark
1465,CSRP1,landmark
10237,SLC35B1,landmark
10245,TIMM17B,landmark
23522,KAT6B,landmark
23530,NNT,landmark
23536,ADAT1,landmark
10227,MFSD10,landmark
10221,TRIB1,landmark
23512,SUZ12,landmark
10206,TRIM13,landmark
10190,TXNDC9,landmark
60493,FASTKD5,landmark
10174,SORBS3,landmark
10180,RBM6,landmark
23499,MACF1,landmark
10150,MBNL2,landmark
23463,ICMT,landmark
10153,CEBPZ,landmark
2810,SFN,landmark
10165,SLC25A13,landmark
2817,GPC1,landmark
1500,CTNND1,landmark
1509,CTSD,landmark
1514,CTSL,landmark
2852,GPER1,landmark
1534,CYB561,landmark
2887,GRB10,landmark
2886,GRB7,landmark
2896,GRN,landmark
23670,TMEM2,landmark
10362,HMG20B,landmark
23647,ARFIP2,landmark
23658,LSM5,landmark
23659,PLA2G15,landmark
10318,TNIP1,landmark
23636,NUP62,landmark
23635,SSBP2,landmark
10329,TMEM5,landmark
10320,IKZF1,landmark
2908,NR3C1,landmark
10298,PAK4,landmark
10270,AKAP8,landmark
10273,STUB1,landmark
23585,TMEM50A,landmark
23588,KLHDC2,landmark
2920,CXCL2,landmark
10276,NET1,landmark
23597,ACOT9,landmark
10285,SMNDC1,landmark
1605,DAG1,landmark
1616,DAXX,landmark
2946,GSTM2,landmark
2954,GSTZ1,landmark
2958,GTF2A2,landmark
2956,MSH6,landmark
60528,ELAC2,landmark
1635,DCTD,landmark
1633,DCK,landmark
2961,GTF2E2,landmark
1643,DDB2,excisio
1647,GADD45A,landmark
1666,DECR1,landmark
1662,DDX10,landmark
1677,DFFB,landmark
1676,DFFA,landmark
10491,CRTAP,landmark
10493,VAT1,landmark
10494,STK25,landmark
10489,LRRC41,landmark
10451,VAV3,domai
10450,PPIE,landmark
10434,LYPLA1,landmark
10398,MYL9,landmark
1738,DLD,landmark
84617,TUBB6,landmark
1759,DNM1,landmark
57019,CIAPIN1,landmark
1788,DNMT3A,landmark
1786,DNMT1,landmark
57048,PLSCR3,landmark
200081,TXLNA,landmark
10513,APPBP2,landmark
10525,HYOU1,landmark
10523,CHERP,landmark
58533,SNX6,landmark
57215,THAP11,landmark
10589,DRAP1,landmark
10557,RPP38,landmark
10559,SLC35A1,landmark
57192,MCOLN1,landmark
1802,DPH2,landmark
1829,DSG2,landmark
1831,TSC22D3,landmark
1848,DUSP6,landmark
1846,DUSP4,landmark
1845,DUSP3,landmark
84722,PSRC1,landmark
1861,TOR1A,landmark
1870,E2F2,landmark
1891,ECH1,landmark
58472,SQRDL,landmark
57149,LYRM1,landmark
57147,SCYL3,landmark
58478,ENOPH1,landmark
58497,PRUNE1,landmark
57178,ZMIZ1,landmark
10652,YKT6,landmark
10668,CGRRF1,landmark
10641,NPRL2,landmark
10644,IGF2BP2,landmark
10617,STAMBP,landmark
10610,ST6GALNAC2,landmark
10606,PAICS,landmark
10695,CNPY3,landmark
10670,RRAGA,landmark
10682,EBP,landmark
10681,GNB5,landmark
94239,H2AFV,landmark
1906,EDN1,landmark
1950,EGF,landmark
1958,EGR1,landmark
1956,EGFR,landmark
1978,EIF4EBP1,landmark
1983,EIF5,landmark
1981,EIF4G1,landmark
1994,ELAVL1,landmark
9019,MPZL1,landmark
9016,SLC25A14,landmark
9053,MAP7,landmark
84890,ADO,landmark
10776,ARPP19,landmark
10775,POP4,landmark
10782,ZNF274,landmark
57406,ABHD6,landmark
9093,DNAJA3,landmark
9097,USP14,landmark
10765,KDM5B,landmark
10730,YME1L1,landmark
10732,TCFL5,landmark
22794,CASC3,landmark
22796,COG2,landmark
10797,MTHFD2,landmark
256364,EML3,landmark
9112,MTA1,landmark
9124,PDLIM1,landmark
9128,PRPF4,landmark
9126,SMC3,landmark
9133,CCNB2,landmark
9134,CCNE2,landmark
9143,SYNGR3,landmark
9170,LPAR2,landmark
9183,ZW10,landmark
9181,ARHGEF2,land
10898,CPSF4,landmark
10892,MALT1,landmark
22889,KIAA0907,landmark
22883,CLSTN1,landmark
22887,FOXJ3,landmark
10857,PGRMC1,landmark
124583,CANT1,landmark
22841,RAB11FIP2,landmark
22809,ATF5,landmark
22823,MTF2,landmark
22827,PUF60,landmark
10845,CLPX,landmark
9212,AURKB,landmark
9217,VAPB,landmark
9221,NOLC1,landmark
10810,WASF3,landmark
10813,UTP14A,landmark
10818,FRS2,landmark
83743,GRWD1,landmark
9246,UBE2L6,landmark
9267,CYTH1,landmark
9261,MAPKAPK2,landmark
9276,COPB2,landmark
9270,ITGB1BP1,landmark
9275,BCL7B,landmark
9289,ADGRG1,landmark
55008,HERC6,landmark
10972,TMED10,landmark
10973,ASCC3,landmark
55012,PPP2R3C,landmark
55011,PIH1D1,landmark
22934,RPIA,landmark
10954,PDIA5,landmark
10953,TOMM34,landmark
55033,FKBP14,landmark
10969,EBNA1BP2,landmark
55038,CDCA4,landmark
10962,MLLT11,landmark
147179,WIPF2,landmark
22908,SACM1L,landmark
22926,ATF6,landmark
10915,TCERG1,landmark
9375,TM9SF2,landmark
22905,EPN2,landmark
