Description,ensembl_id,entrez_id,gene_biotype,Type
OR4F5,ENSG00000186092,79501,protein_coding,target
SAMD11,ENSG00000187634,148398,protein_coding,target
NOC2L,ENSG00000188976,26155,protein_coding,target
KLHL17,ENSG00000187961,339451,protein_coding,target
PLEKHN1,ENSG00000187583,84069,protein_coding,target
PERM1,ENSG00000187642,84808,protein_coding,target
HES4,ENSG00000188290,57801,protein_coding,target
ISG15,ENSG00000187608,9636,protein_coding,target
AGRN,ENSG00000188157,375790,protein_coding,target
RNF223,ENSG00000237330,401934,protein_coding,target
C1orf159,ENSG00000131591,54991,protein_coding,target
TTLL10,ENSG00000162571,254173,protein_coding,target
TNFRSF18,ENSG00000186891,8784,protein_coding,target
TNFRSF4,ENSG00000186827,7293,protein_coding,target
SDF4,ENSG00000078808,51150,protein_coding,target
B3GALT6,ENSG00000176022,126792,protein_coding,target
C1QTNF12,ENSG00000184163,388581,protein_coding,target
UBE2J2,ENSG00000160087,118424,protein_coding,target
SCNN1D,ENSG00000162572,6339,protein_coding,target
ACAP3,ENSG00000131584,116983,protein_coding,target
PUSL1,ENSG00000169972,126789,protein_coding,target
INTS11,ENSG00000127054,54973,protein_coding,target
CPTP,ENSG00000224051,80772,protein_coding,target
TAS1R3,ENSG00000169962,83756,protein_coding,target
DVL1,ENSG00000107404,1855,protein_coding,target
MXRA8,ENSG00000162576,54587,protein_coding,target
AURKAIP1,ENSG00000175756,54998,protein_coding,target
CCNL2,ENSG00000221978,81669,protein_coding,target
MRPL20,ENSG00000242485,55052,protein_coding,target
ANKRD65,ENSG00000235098,441869,protein_coding,target
TMEM88B,ENSG00000205116,643965,protein_coding,target
VWA1,ENSG00000179403,64856,protein_coding,target
ATAD3C,ENSG00000215915,219293,protein_coding,target
ATAD3B,ENSG00000160072,83858,protein_coding,target
ATAD3A,ENSG00000197785,55210,protein_coding,target
TMEM240,ENSG00000205090,339453,protein_coding,target
SSU72,ENSG00000160075,29101,protein_coding,target
FNDC10,ENSG00000228594,643988,protein_coding,target
MIB2,ENSG00000197530,142678,protein_coding,target
MMP23B,ENSG00000189409,8510,protein_coding,target
CDK11B,ENSG00000248333,984,protein_coding,target
SLC35E2B,ENSG00000189339,728661,protein_coding,target
CDK11A,ENSG00000008128,728642,protein_coding,target
NADK,ENSG00000008130,65220,protein_coding,target
GNB1,ENSG00000078369,2782,protein_coding,target
CALML6,ENSG00000169885,163688,protein_coding,target
TMEM52,ENSG00000178821,339456,protein_coding,target
CFAP74,ENSG00000142609,85452,protein_coding,target
GABRD,ENSG00000187730,2563,protein_coding,target
PRKCZ,ENSG00000067606,5590,protein_coding,target
FAAP20,ENSG00000162585,199990,protein_coding,target
SKI,ENSG00000157933,6497,protein_coding,target
MORN1,ENSG00000116151,79906,protein_coding,target
RER1,ENSG00000157916,11079,protein_coding,target
PEX10,ENSG00000157911,5192,protein_coding,target
PLCH2,ENSG00000149527,9651,protein_coding,target
PANK4,ENSG00000157881,55229,protein_coding,target
HES5,ENSG00000197921,388585,protein_coding,target
TNFRSF14,ENSG00000157873,8764,protein_coding,target
FAM213B,ENSG00000157870,127281,protein_coding,target
MMEL1,ENSG00000142606,79258,protein_coding,target
TTC34,ENSG00000215912,100287898,protein_coding,target
ACTRT2,ENSG00000169717,140625,protein_coding,target
PRDM16,ENSG00000142611,63976,protein_coding,target
ARHGEF16,ENSG00000130762,27237,protein_coding,target
MEGF6,ENSG00000162591,1953,protein_coding,target
TPRG1L,ENSG00000158109,127262,protein_coding,target
WRAP73,ENSG00000116213,49856,protein_coding,target
TP73,ENSG00000078900,7161,protein_coding,target
CCDC27,ENSG00000162592,148870,protein_coding,target
SMIM1,ENSG00000235169,388588,protein_coding,target
LRRC47,ENSG00000130764,57470,protein_coding,target
CEP104,ENSG00000116198,9731,protein_coding,target
DFFB,ENSG00000169598,1677,protein_coding,landmark
C1orf174,ENSG00000198912,339448,protein_coding,target
AJAP1,ENSG00000196581,55966,protein_coding,target
NPHP4,ENSG00000131697,261734,protein_coding,target
KCNAB2,ENSG00000069424,8514,protein_coding,target
CHD5,ENSG00000116254,26038,protein_coding,target
RPL22,ENSG00000116251,6146,protein_coding,target
RNF207,ENSG00000158286,388591,protein_coding,target
ICMT,ENSG00000116237,23463,protein_coding,landmark
HES3,ENSG00000173673,390992,protein_coding,target
GPR153,ENSG00000158292,387509,protein_coding,target
ACOT7,ENSG00000097021,11332,protein_coding,target
HES2,ENSG00000069812,54626,protein_coding,target
ESPN,ENSG00000187017,83715,protein_coding,target
TNFRSF25,ENSG00000215788,8718,protein_coding,target
PLEKHG5,ENSG00000171680,57449,protein_coding,target
NOL9,ENSG00000162408,79707,protein_coding,target
TAS1R1,ENSG00000173662,80835,protein_coding,target
ZBTB48,ENSG00000204859,3104,protein_coding,target
KLHL21,ENSG00000162413,9903,protein_coding,landmark
PHF13,ENSG00000116273,148479,protein_coding,target
THAP3,ENSG00000041988,90326,protein_coding,target
DNAJC11,ENSG00000007923,55735,protein_coding,target
CAMTA1,ENSG00000171735,23261,protein_coding,target
VAMP3,ENSG00000049245,9341,protein_coding,target
PER3,ENSG00000049246,8863,protein_coding,target
UTS2,ENSG00000049247,10911,protein_coding,target
TNFRSF9,ENSG00000049249,3604,protein_coding,target
PARK7,ENSG00000116288,11315,protein_coding,target
ERRFI1,ENSG00000116285,54206,protein_coding,target
SLC45A1,ENSG00000162426,50651,protein_coding,target
RERE,ENSG00000142599,473,protein_coding,target
ENO1,ENSG00000074800,2023,protein_coding,target
CA6,ENSG00000131686,765,protein_coding,target
SLC2A7,ENSG00000197241,155184,protein_coding,target
SLC2A5,ENSG00000142583,6518,protein_coding,target
GPR157,ENSG00000180758,80045,protein_coding,target
H6PD,ENSG00000049239,9563,protein_coding,target
SPSB1,ENSG00000171621,80176,protein_coding,target
SLC25A33,ENSG00000171612,84275,protein_coding,target
TMEM201,ENSG00000188807,199953,protein_coding,target
PIK3CD,ENSG00000171608,5293,protein_coding,target
CLSTN1,ENSG00000171603,22883,protein_coding,landmark
CTNNBIP1,ENSG00000178585,56998,protein_coding,target
LZIC,ENSG00000162441,84328,protein_coding,target
NMNAT1,ENSG00000173614,64802,protein_coding,target
RBP7,ENSG00000162444,116362,protein_coding,target
UBE4B,ENSG00000130939,10277,protein_coding,target
KIF1B,ENSG00000054523,23095,protein_coding,target
PGD,ENSG00000142657,5226,protein_coding,target
CENPS,ENSG00000175279,378708,protein_coding,target
CORT,ENSG00000241563,1325,protein_coding,target
DFFA,ENSG00000160049,1676,protein_coding,landmark
PEX14,ENSG00000142655,5195,protein_coding,target
CASZ1,ENSG00000130940,54897,protein_coding,target
C1orf127,ENSG00000175262,148345,protein_coding,target
TARDBP,ENSG00000120948,23435,protein_coding,target
MASP2,ENSG00000009724,10747,protein_coding,target
SRM,ENSG00000116649,6723,protein_coding,target
EXOSC10,ENSG00000171824,5394,protein_coding,target
MTOR,ENSG00000198793,2475,protein_coding,target
ANGPTL7,ENSG00000171819,10218,protein_coding,target
UBIAD1,ENSG00000120942,29914,protein_coding,target
DISP3,ENSG00000204624,57540,protein_coding,target
FBXO2,ENSG00000116661,26232,protein_coding,target
FBXO44,ENSG00000132879,93611,protein_coding,target
FBXO6,ENSG00000116663,26270,protein_coding,target
MAD2L2,ENSG00000116670,10459,protein_coding,target
DRAXIN,ENSG00000162490,374946,protein_coding,target
AGTRAP,ENSG00000177674,57085,protein_coding,target
C1orf167,ENSG00000215910,284498,protein_coding,target
MTHFR,ENSG00000177000,4524,protein_coding,target
CLCN6,ENSG00000011021,1185,protein_coding,target
NPPA,ENSG00000175206,4878,protein_coding,target
NPPB,ENSG00000120937,4879,protein_coding,target
KIAA2013,ENSG00000116685,90231,protein_coding,target
PLOD1,ENSG00000083444,5351,protein_coding,target
MFN2,ENSG00000116688,9927,protein_coding,target
MIIP,ENSG00000116691,60672,protein_coding,target
TNFRSF8,ENSG00000120949,943,protein_coding,target
TNFRSF1B,ENSG00000028137,7133,protein_coding,target
VPS13D,ENSG00000048707,55187,protein_coding,target
DHRS3,ENSG00000162496,9249,protein_coding,target
AADACL4,ENSG00000204518,343066,protein_coding,target
AADACL3,ENSG00000188984,126767,protein_coding,target
C1orf158,ENSG00000157330,93190,protein_coding,target
PRAMEF12,ENSG00000116726,390999,protein_coding,target
PRAMEF1,ENSG00000116721,65121,protein_coding,target
PRAMEF11,ENSG00000239810,440560,protein_coding,target
HNRNPCL1,ENSG00000179172,343069,protein_coding,target
PRAMEF2,ENSG00000120952,65122,protein_coding,target
PRAMEF4,ENSG00000243073,400735,protein_coding,target
PRAMEF10,ENSG00000187545,343071,protein_coding,target
PRAMEF7,ENSG00000204510,441871,protein_coding,target
PRAMEF6,ENSG00000232423,440561,protein_coding,target
PRAMEF25,ENSG00000229571,441873,protein_coding,target
HNRNPCL4,ENSG00000179412,101060301,protein_coding,target
PRAMEF9,ENSG00000204505,343070,protein_coding,target
PRAMEF8,ENSG00000182330,391002,protein_coding,target
PRAMEF33,ENSG00000237700,645382,protein_coding,target
PRAMEF15,ENSG00000204501,653619,protein_coding,target
PRAMEF14,ENSG00000204481,729528,protein_coding,target
PRAMEF19,ENSG00000204480,645414,protein_coding,target
PRAMEF17,ENSG00000204479,391004,protein_coding,target
PRAMEF20,ENSG00000204478,645425,protein_coding,target
LRRC38,ENSG00000162494,126755,protein_coding,target
PDPN,ENSG00000162493,10630,protein_coding,target
PRDM2,ENSG00000116731,7799,protein_coding,target
KAZN,ENSG00000189337,23254,protein_coding,target
TMEM51,ENSG00000171729,55092,protein_coding,target
FHAD1,ENSG00000142621,114827,protein_coding,target
EFHD2,ENSG00000142634,79180,protein_coding,target
CTRC,ENSG00000162438,11330,protein_coding,target
CELA2A,ENSG00000142615,63036,protein_coding,target
CELA2B,ENSG00000215704,51032,protein_coding,target
CASP9,ENSG00000132906,842,protein_coding,target
DNAJC16,ENSG00000116138,23341,protein_coding,target
AGMAT,ENSG00000116771,79814,protein_coding,target
DDI2,ENSG00000197312,84301,protein_coding,target
PLEKHM2,ENSG00000116786,23207,protein_coding,target
SLC25A34,ENSG00000162461,284723,protein_coding,target
TMEM82,ENSG00000162460,388595,protein_coding,target
FBLIM1,ENSG00000162458,54751,protein_coding,target
UQCRHL,ENSG00000233954,440567,protein_coding,target
SPEN,ENSG00000065526,23013,protein_coding,landmark
ZBTB17,ENSG00000116809,7709,protein_coding,target
C1orf64,ENSG00000183888,149563,protein_coding,target
HSPB7,ENSG00000173641,27129,protein_coding,target
CLCNKA,ENSG00000186510,1187,protein_coding,target
CLCNKB,ENSG00000184908,1188,protein_coding,target
FAM131C,ENSG00000185519,348487,protein_coding,target
EPHA2,ENSG00000142627,1969,protein_coding,target
ARHGEF19,ENSG00000142632,128272,protein_coding,target
RSG1,ENSG00000132881,79363,protein_coding,target
FBXO42,ENSG00000037637,54455,protein_coding,target
SZRD1,ENSG00000055070,26099,protein_coding,target
SPATA21,ENSG00000187144,374955,protein_coding,target
NECAP2,ENSG00000157191,55707,protein_coding,target
NBPF1,ENSG00000219481,55672,protein_coding,target
CROCC,ENSG00000058453,9696,protein_coding,target
MFAP2,ENSG00000117122,4237,protein_coding,target
ATP13A2,ENSG00000159363,23400,protein_coding,target
SDHB,ENSG00000117118,6390,protein_coding,landmark
PADI2,ENSG00000117115,11240,protein_coding,target
PADI1,ENSG00000142623,29943,protein_coding,target
PADI3,ENSG00000142619,51702,protein_coding,target
PADI4,ENSG00000159339,23569,protein_coding,target
RCC2,ENSG00000179051,55920,protein_coding,target
ARHGEF10L,ENSG00000074964,55160,protein_coding,target
ACTL8,ENSG00000117148,81569,protein_coding,target
IGSF21,ENSG00000117154,84966,protein_coding,target
KLHDC7A,ENSG00000179023,127707,protein_coding,target
PAX7,ENSG00000009709,5081,protein_coding,target
TAS1R2,ENSG00000179002,80834,protein_coding,target
ALDH4A1,ENSG00000159423,8659,protein_coding,target
IFFO2,ENSG00000169991,126917,protein_coding,target
UBR4,ENSG00000127481,23352,protein_coding,target
EMC1,ENSG00000127463,23065,protein_coding,target
MRTO4,ENSG00000053372,51154,protein_coding,target
AKR7L,ENSG00000211454,246181,polymorphic_pseudogene,target
AKR7A3,ENSG00000162482,22977,protein_coding,target
AKR7A2,ENSG00000053371,8574,protein_coding,landmark
PQLC2,ENSG00000040487,54896,protein_coding,target
CAPZB,ENSG00000077549,832,protein_coding,target
MINOS1,ENSG00000173436,440574,protein_coding,target
NBL1,ENSG00000158747,4681,protein_coding,target
HTR6,ENSG00000158748,3362,protein_coding,target
TMCO4,ENSG00000162542,255104,protein_coding,target
RNF186,ENSG00000178828,54546,protein_coding,target
OTUD3,ENSG00000169914,23252,protein_coding,target
PLA2G2E,ENSG00000188784,30814,protein_coding,target
PLA2G2A,ENSG00000188257,5320,protein_coding,target
PLA2G5,ENSG00000127472,5322,protein_coding,target
PLA2G2D,ENSG00000117215,26279,protein_coding,target
PLA2G2F,ENSG00000158786,64600,protein_coding,target
PLA2G2C,ENSG00000187980,391013,protein_coding,target
UBXN10,ENSG00000162543,127733,protein_coding,target
VWA5B1,ENSG00000158816,127731,protein_coding,target
CAMK2N1,ENSG00000162545,55450,protein_coding,target
